"action","digital_title","digital_provider","tmdbId","tmdbTitle","year","reason"
"UPDATE","Monsters, Inc.","Fandango","585","Monsters, Inc.","2001","Digital provider added to existing catalog record ""Monsters, Inc.""."
"UPDATE","Mortal Kombat","Fandango | Movies Anywhere","460465","Mortal Kombat","2021","Digital provider added to existing catalog record ""Mortal Kombat""."
"UPDATE","Mr. Right","Fandango | Movies Anywhere","333385","Mr. Right","2016","Digital provider added to existing catalog record ""Mr. Right""."
"UPDATE","Mummy Returns, The","Fandango | Movies Anywhere","1734","The Mummy Returns","2001","Digital provider added to existing catalog record ""Mummy Returns, The""."
"UPDATE","Mummy, The","Fandango | Movies Anywhere","564","The Mummy","1999","Digital provider added to existing catalog record ""Mummy, The""."
"UPDATE","Mummy: Tomb of the Dragon Emperor, The","Fandango | Movies Anywhere","1735","The Mummy: Tomb of the Dragon Emperor","2008","Digital provider added to existing catalog record ""Mummy: Tomb of the Dragon Emperor, The""."
"UPDATE","National Lampoon's Christmas Vacation","Fandango | Movies Anywhere","5825","National Lampoon's Christmas Vacation","1989","Digital provider added to existing catalog record ""National Lampoon's Christmas Vacation""."
"UPDATE","Natural, The","Fandango | Movies Anywhere","11393","The Natural","1984","Digital provider added to existing catalog record ""Natural, The""."
"UPDATE","Night Before, The","Fandango | Movies Anywhere","38966","The Night Before","1988","Digital provider added to existing catalog record ""Night Before, The""."
"UPDATE","Now You See Me","Fandango | Movies Anywhere","75656","Now You See Me","2013","Digital provider added to existing catalog record ""Now You See Me""."
"UPDATE","Now You See Me 2","Fandango | Movies Anywhere","291805","Now You See Me 2","2016","Digital provider added to existing catalog record ""Now You See Me 2""."
"UPDATE","Now You See Me, Now You Don't","Fandango | Movies Anywhere","425274","Now You See Me: Now You Don't","2025","Digital provider added to existing catalog record ""Now You See Me, Now You Don't""."
"UPDATE","Ocean's 8","Fandango | Movies Anywhere","402900","Ocean's Eight","2018","Digital provider added to existing catalog record ""Ocean's 8""."
"UPDATE","Ocean's Eleven","Fandango | Movies Anywhere | Prime","161","Ocean's Eleven","2001","Digital provider added to existing catalog record ""Ocean's Eleven""."
"UPDATE","Ocean's Thirteen","Fandango | Movies Anywhere","298","Ocean's Thirteen","2007","Digital provider added to existing catalog record ""Ocean's Thirteen""."
"UPDATE","Ocean's Twelve","Fandango | Movies Anywhere","163","Ocean's Twelve","2004","Digital provider added to existing catalog record ""Ocean's Twelve""."
"UPDATE","Office Christmas Party","Fandango","384682","Office Christmas Party","2016","Digital provider added to existing catalog record ""Office Christmas Party""."
"UPDATE","Pan","Fandango | Movies Anywhere","266647","Pan","2015","Digital provider added to existing catalog record ""Pan""."
"UPDATE","Pitch Perfect","Fandango | Movies Anywhere","114150","Pitch Perfect","2012","Digital provider added to existing catalog record ""Pitch Perfect""."
"UPDATE","Pitch Perfect 2","Fandango | Movies Anywhere","254470","Pitch Perfect 2","2015","Digital provider added to existing catalog record ""Pitch Perfect 2""."
"UPDATE","Pitch Perfect 3","Fandango | Movies Anywhere","353616","Pitch Perfect 3","2017","Digital provider added to existing catalog record ""Pitch Perfect 3""."
"UPDATE","Planes, Trains and Automobiles","Fandango","2609","Planes, Trains and Automobiles","1987","Digital provider added to existing catalog record ""Planes, Trains and Automobiles""."
"UPDATE","Polar Express, The","Fandango | Movies Anywhere","5255","The Polar Express","2004","Digital provider added to existing catalog record ""Polar Express, The""."
"UPDATE","Rambo","Fandango | Movies Anywhere","7555","Rambo","2008","Digital provider added to existing catalog record ""Rambo""."
"UPDATE","Return to Never Land","Fandango","16690","Return to Never Land","2002","Digital provider added to existing catalog record ""Return to Never Land""."
"UPDATE","Riddick","Fandango | Movies Anywhere","87421","Riddick","2013","Digital provider added to existing catalog record ""Riddick""."
"UPDATE","Rise of the Planet of the Apes","Fandango | Movies Anywhere","61791","Rise of the Planet of the Apes","2011","Digital provider added to existing catalog record ""Rise of the Planet of the Apes""."
"UPDATE","Rock of Ages","Fandango | Movies Anywhere","80585","Rock of Ages","2012","Digital provider added to existing catalog record ""Rock of Ages""."
"UPDATE","Rocky Balboa","Fandango","1246","Rocky Balboa","2006","Digital provider added to existing catalog record ""Rocky Balboa""."
"UPDATE","Rounders","Prime","10220","Rounders","1998","Digital provider added to existing catalog record ""Rounders""."
"UPDATE","Rudy","Fandango | Movies Anywhere","14534","Rudy","1993","Digital provider added to existing catalog record ""Rudy""."
"UPDATE","Shazam!","Fandango | Movies Anywhere | Prime","287947","Shazam!","2019","Digital provider added to existing catalog record ""Shazam!""."
"UPDATE","Sherlock Holmes: A Game of Shadows","Fandango | Movies Anywhere","58574","Sherlock Holmes: A Game of Shadows","2011","Digital provider added to existing catalog record ""Sherlock Holmes: A Game of Shadows""."
"UPDATE","Sing","Fandango | Movies Anywhere","335797","Sing","2016","Digital provider added to existing catalog record ""Sing""."
"UPDATE","Sonic the Hedgehog","Fandango","454626","Sonic the Hedgehog","2020","Digital provider added to existing catalog record ""Sonic the Hedgehog""."
"UPDATE","Sonic the Hedgehog 2","Fandango","675353","Sonic the Hedgehog 2","2022","Digital provider added to existing catalog record ""Sonic the Hedgehog 2""."
"UPDATE","Sonic the Hedgehog 3","Fandango","939243","Sonic the Hedgehog 3","2024","Digital provider added to existing catalog record ""Sonic the Hedgehog 3""."
"UPDATE","Speed","Fandango | Movies Anywhere","1637","Speed","1994","Digital provider added to existing catalog record ""Speed""."
"UPDATE","Spy","Fandango | Movies Anywhere","238713","Spy","2015","Digital provider added to existing catalog record ""Spy""."
"UPDATE","Star Trek Into Darkness","Fandango","54138","Star Trek Into Darkness","2013","Digital provider added to existing catalog record ""Star Trek Into Darkness""."
"UPDATE","Suicide Squad","Fandango | Movies Anywhere","297761","Suicide Squad","2016","Digital provider added to existing catalog record ""Suicide Squad""."
"UPDATE","Sweeney Todd: The Demon Barber of Fleet Street","Fandango","13885","Sweeney Todd: The Demon Barber of Fleet Street","2007","Digital provider added to existing catalog record ""Sweeney Todd: The Demon Barber of Fleet Street""."
"UPDATE","Tango & Cash","Fandango | Movies Anywhere","9618","Tango & Cash","1989","Digital provider added to existing catalog record ""Tango & Cash""."
"UPDATE","That's My Boy","Fandango | Movies Anywhere","87428","That's My Boy","2012","Digital provider added to existing catalog record ""That's My Boy""."
"UPDATE","Thor: The Dark World","Fandango | Movies Anywhere","76338","Thor: The Dark World","2013","Digital provider added to existing catalog record ""Thor: The Dark World""."
"UPDATE","Top Gun: Maverick","Fandango","361743","Top Gun: Maverick","2022","Digital provider added to existing catalog record ""Top Gun: Maverick""."
"UPDATE","Total Recall","Fandango | Movies Anywhere","861","Total Recall","1990","Digital provider added to existing catalog record ""Total Recall""."
"UPDATE","Transformers: Age of Extinction","Fandango","91314","Transformers: Age of Extinction","2014","Digital provider added to existing catalog record ""Transformers: Age of Extinction""."
"UPDATE","Transformers: The Last Knight","Fandango","335988","Transformers: The Last Knight","2017","Digital provider added to existing catalog record ""Transformers: The Last Knight""."
"UPDATE","Trolls","Fandango | Movies Anywhere","136799","Trolls","2016","Digital provider added to existing catalog record ""Trolls""."
"UPDATE","Trouble with the Curve","Fandango | Movies Anywhere","87825","Trouble with the Curve","2012","Digital provider added to existing catalog record ""Trouble with the Curve""."
"UPDATE","True Lies","Fandango | Movies Anywhere","36955","True Lies","1994","Digital provider added to existing catalog record ""True Lies""."
"UPDATE","Twilight Saga: Breaking Dawn - Part 1, The","Fandango","50619","The Twilight Saga: Breaking Dawn - Part 1","2011","Digital provider added to existing catalog record ""Twilight Saga: Breaking Dawn - Part 1, The""."
"UPDATE","Twilight Saga: Breaking Dawn - Part 2, The","Fandango | Movies Anywhere","50620","The Twilight Saga: Breaking Dawn - Part 2","2012","Digital provider added to existing catalog record ""Twilight Saga: Breaking Dawn - Part 2, The""."
"UPDATE","Underworld: Awakening","Fandango | Movies Anywhere","52520","Underworld: Awakening","2012","Digital provider added to existing catalog record ""Underworld: Awakening""."
"UPDATE","V for Vendetta","Fandango | Movies Anywhere","752","V for Vendetta","2006","Digital provider added to existing catalog record ""V for Vendetta""."
"UPDATE","Violent Night","Fandango | Movies Anywhere","899112","Violent Night","2022","Digital provider added to existing catalog record ""Violent Night""."
"UPDATE","Warrior","Fandango | Movies Anywhere","59440","Warrior","2011","Digital provider added to existing catalog record ""Warrior""."
"UPDATE","Wayne's World","Fandango","8872","Wayne's World","1992","Digital provider added to existing catalog record ""Wayne's World""."
"UPDATE","Wayne's World 2","Fandango","8873","Wayne's World 2","1993","Digital provider added to existing catalog record ""Wayne's World 2""."
"UPDATE","We're the Millers","Fandango | Movies Anywhere","138832","We're the Millers","2013","Digital provider added to existing catalog record ""We're the Millers""."
"UPDATE","Wicked","Fandango | Movies Anywhere","402431","Wicked","2024","Digital provider added to existing catalog record ""Wicked""."
"UPDATE","Wicked: For Good","Fandango | Movies Anywhere","967941","Wicked: For Good","2025","Digital provider added to existing catalog record ""Wicked: For Good""."
"UPDATE","Willy Wonka & the Chocolate Factory","Fandango | Movies Anywhere","252","Willy Wonka & the Chocolate Factory","1971","Digital provider added to existing catalog record ""Willy Wonka & the Chocolate Factory""."
"UPDATE","Wonder Woman","Fandango | Movies Anywhere","297762","Wonder Woman","2017","Digital provider added to existing catalog record ""Wonder Woman""."
"UPDATE","Wonka","Fandango | Movies Anywhere","787699","Wonka","2023","Digital provider added to existing catalog record ""Wonka""."
"UPDATE","Wrath of Man","Fandango","637649","Wrath of Man","2021","Digital provider added to existing catalog record ""Wrath of Man""."
"UPDATE","X-Men: Days of Future Past","Fandango | Movies Anywhere","127585","X-Men: Days of Future Past","2014","Digital provider added to existing catalog record ""X-Men: Days of Future Past""."
"UPDATE","Aladdin","Fandango | Movies Anywhere","420817","Aladdin","2019","Digital provider added to existing catalog record ""Aladdin""."
"UPDATE","Rambo: First Blood","Fandango | Movies Anywhere | Prime","1368","First Blood","1982","Digital provider added to existing catalog record ""Rambo: First Blood""."
"REVIEW","2001: A Space Odyssey","Fandango | Movies Anywhere","62","2001: A Space Odyssey","1968","TMDB ID was not supplied in the import file; manual confirmation required."
