action,title,digital_sources,tmdbId,tmdbTitle,tmdbYear,catalogTitle,catalogYear,catalogDigital,reason
MATCH,Harry Potter and the Deathly Hallows: Part 1,Fandango | Movies Anywhere,12444,Harry Potter and the Deathly Hallows: Part 1,2010,Harry Potter and the Deathly Hallows: Part 1,2010,,TMDB ID matches existing catalog record.
MATCH,Harry Potter and the Deathly Hallows: Part 2,Fandango | Movies Anywhere,12445,Harry Potter and the Deathly Hallows: Part 2,2011,Harry Potter and the Deathly Hallows: Part 2,2011,,TMDB ID matches existing catalog record.
MATCH,Harry Potter and the Goblet of Fire,Fandango | Movies Anywhere,674,Harry Potter and the Goblet of Fire,2005,Harry Potter and the Goblet of Fire,2005,,TMDB ID matches existing catalog record.
MATCH,Harry Potter and the Half-Blood Prince,Fandango | Movies Anywhere,767,Harry Potter and the Half-Blood Prince,2009,Harry Potter and the Half-Blood Prince,2009,,TMDB ID matches existing catalog record.
MATCH,Harry Potter and the Order of the Phoenix,Fandango | Movies Anywhere,675,Harry Potter and the Order of the Phoenix,2007,Harry Potter and the Order of the Phoenix,2007,,TMDB ID matches existing catalog record.
MATCH,Harry Potter and the Prisoner of Azkaban,Fandango | Movies Anywhere,673,Harry Potter and the Prisoner of Azkaban,2004,Harry Potter and the Prisoner of Azkaban,2004,,TMDB ID matches existing catalog record.
NEW,Harry Potter and the Sorcerer's Stone,Fandango | Movies Anywhere,671,Harry Potter and the Philosopher's Stone,2001,,,,TMDB ID does not exist in movies.js.
MATCH,"Heat, The",Fandango | Movies Anywhere,136795,The Heat,2013,"Heat, The",2013,,TMDB ID matches existing catalog record.
MATCH,"Holdovers, The",Fandango | Movies Anywhere,840430,The Holdovers,2023,"Holdovers, The",2023,,TMDB ID matches existing catalog record.
MATCH,"Holiday, The",Fandango | Movies Anywhere,1581,The Holiday,2006,"Holiday, The",2006,,TMDB ID matches existing catalog record.
MATCH,Horrible Bosses,Fandango | Movies Anywhere,51540,Horrible Bosses,2011,Horrible Bosses,2011,,TMDB ID matches existing catalog record.
MATCH,How the Grinch Stole Christmas,Fandango | Movies Anywhere,8871,How the Grinch Stole Christmas,2000,How the Grinch Stole Christmas,2000,,TMDB ID matches existing catalog record.
MATCH,"Hunger Games, The",Fandango | Movies Anywhere,70160,The Hunger Games,2012,"Hunger Games, The",2012,,TMDB ID matches existing catalog record.
MATCH,"Hunger Games: Catching Fire, The",Fandango,101299,The Hunger Games: Catching Fire,2013,"Hunger Games: Catching Fire, The",2013,,TMDB ID matches existing catalog record.
MATCH,"Hunger Games: Mockingjay - Part 1, The",Fandango,131631,The Hunger Games: Mockingjay - Part 1,2014,"Hunger Games: Mockingjay - Part 1, The",2014,,TMDB ID matches existing catalog record.
MATCH,"Hunger Games: Mockingjay - Part 2, The",Fandango | Movies Anywhere,131634,The Hunger Games: Mockingjay - Part 2,2015,"Hunger Games: Mockingjay - Part 2, The",2015,,TMDB ID matches existing catalog record.
MATCH,Ice Age,Fandango | Movies Anywhere,425,Ice Age,2002,Ice Age,2002,,TMDB ID matches existing catalog record.
MATCH,In Bruges,Fandango | Movies Anywhere,8321,In Bruges,2008,In Bruges,2008,,TMDB ID matches existing catalog record.
MATCH,Inception,Fandango | Movies Anywhere,27205,Inception,2010,Inception,2010,,TMDB ID matches existing catalog record.
MATCH,"Incredible Burt Wonderstone, The",Fandango | Movies Anywhere | Prime,124459,The Incredible Burt Wonderstone,2013,"Incredible Burt Wonderstone, The",2013,,TMDB ID matches existing catalog record.
MATCH,Inside Out,Fandango | Movies Anywhere,150540,Inside Out,2015,Inside Out,2015,,TMDB ID matches existing catalog record.
MATCH,Iron Man 3,Fandango | Movies Anywhere,68721,Iron Man 3,2013,Iron Man 3,2013,,TMDB ID matches existing catalog record.
MATCH,Jerry Maguire,Fandango | Movies Anywhere,9390,Jerry Maguire,1996,Jerry Maguire,1996,,TMDB ID matches existing catalog record.
MATCH,Jingle All the Way,Fandango | Movies Anywhere,9279,Jingle All the Way,1996,Jingle All the Way,1996,,TMDB ID matches existing catalog record.
MATCH,John Wick,Fandango | Movies Anywhere,245891,John Wick,2014,John Wick,2014,,TMDB ID matches existing catalog record.
MATCH,John Wick: Chapter 2,Fandango | Movies Anywhere | Prime,324552,John Wick: Chapter 2,2017,John Wick: Chapter 2,2017,,TMDB ID matches existing catalog record.
MATCH,John Wick: Chapter 3 - Parabellum,Fandango,458156,John Wick: Chapter 3 - Parabellum,2019,John Wick: Chapter 3 - Parabellum,2019,,TMDB ID matches existing catalog record.
MATCH,John Wick: Chapter 4,Fandango,603692,John Wick: Chapter 4,2023,John Wick: Chapter 4,2023,,TMDB ID matches existing catalog record.
MATCH,Jumanji: The Next Level,Fandango | Movies Anywhere,512200,Jumanji: The Next Level,2019,Jumanji: The Next Level,2019,,TMDB ID matches existing catalog record.
MATCH,Jumanji: Welcome to the Jungle,Fandango | Movies Anywhere,353486,Jumanji: Welcome to the Jungle,2017,Jumanji: Welcome to the Jungle,2017,,TMDB ID matches existing catalog record.
MATCH,Jurassic Park,Fandango | Movies Anywhere,329,Jurassic Park,1993,Jurassic Park,1993,,TMDB ID matches existing catalog record.
MATCH,Jurassic Park III,Fandango | Movies Anywhere,331,Jurassic Park III,2001,Jurassic Park III,2001,,TMDB ID matches existing catalog record.
MATCH,Jurassic World,Fandango | Movies Anywhere,135397,Jurassic World,2015,Jurassic World,2015,,TMDB ID matches existing catalog record.
MATCH,Jurassic World Dominion,Fandango | Movies Anywhere,507086,Jurassic World Dominion,2022,Jurassic World Dominion,2022,,TMDB ID matches existing catalog record.
MATCH,Jurassic World: Fallen Kingdom,Fandango | Movies Anywhere,351286,Jurassic World: Fallen Kingdom,2018,Jurassic World: Fallen Kingdom,2018,,TMDB ID matches existing catalog record.
MATCH,Justice League,Fandango | Movies Anywhere,141052,Justice League,2017,Justice League,2017,,TMDB ID matches existing catalog record.
MATCH,Kick-Ass,Fandango | Movies Anywhere,23483,Kick-Ass,2010,Kick-Ass,2010,,TMDB ID matches existing catalog record.
MATCH,Kick-Ass 2,Fandango | Movies Anywhere,59859,Kick-Ass 2,2013,Kick-Ass 2,2013,,TMDB ID matches existing catalog record.
MATCH,Kingsman: The Secret Service,Fandango | Movies Anywhere,207703,Kingsman: The Secret Service,2015,Kingsman: The Secret Service,2015,,TMDB ID matches existing catalog record.
MATCH,Knight and Day,Fandango | Movies Anywhere,37834,Knight and Day,2010,Knight and Day,2010,,TMDB ID matches existing catalog record.
MATCH,Last Holiday,Fandango,17379,Last Holiday,2006,Last Holiday,2006,,TMDB ID matches existing catalog record.
MATCH,Legends of the Fall,Fandango | Movies Anywhere,4476,Legends of the Fall,1994,Legends of the Fall,1994,,TMDB ID matches existing catalog record.
MATCH,"Lego Batman Movie, The",Fandango | Movies Anywhere,324849,The Lego Batman Movie,2017,"Lego Batman Movie, The",2017,,TMDB ID matches existing catalog record.
MATCH,"Lego Movie 2: The Second Part, The",Fandango | Movies Anywhere,280217,The Lego Movie 2: The Second Part,2019,"Lego Movie 2: The Second Part, The",2019,,TMDB ID matches existing catalog record.
MATCH,"Lego Movie, The",Fandango | Movies Anywhere,137106,The Lego Movie,2014,"Lego Movie, The",2014,,TMDB ID matches existing catalog record.
MATCH,Love Actually,Fandango | Movies Anywhere,508,Love Actually,2003,Love Actually,2003,,TMDB ID matches existing catalog record.
MATCH,Love the Coopers,Fandango | Movies Anywhere,333348,Love the Coopers,2015,Love the Coopers,2015,,TMDB ID matches existing catalog record.
MATCH,Maggie,Fandango | Movies Anywhere,287424,Maggie,2015,Maggie,2015,,TMDB ID matches existing catalog record.
MATCH,Major League,Fandango,9942,Major League,1989,Major League,1989,,TMDB ID matches existing catalog record.
MATCH,Maleficent,Fandango | Movies Anywhere,102651,Maleficent,2014,Maleficent,2014,,TMDB ID matches existing catalog record.
MATCH,Man of Steel,Fandango | Movies Anywhere,49521,Man of Steel,2013,Man of Steel,2013,,TMDB ID matches existing catalog record.
MATCH,Matchstick Men,Fandango | Movies Anywhere,7270,Matchstick Men,2003,Matchstick Men,2003,,TMDB ID matches existing catalog record.
MATCH,"Matrix, The",Fandango | Movies Anywhere,603,The Matrix,1999,"Matrix, The",1999,,TMDB ID matches existing catalog record.
MATCH,"Mechanic, The",Fandango | Movies Anywhere,27582,The Mechanic,2011,"Mechanic, The",2011,,TMDB ID matches existing catalog record.
MATCH,Meg 2: The Trench,Fandango | Movies Anywhere,615656,Meg 2: The Trench,2023,Meg 2: The Trench,2023,,TMDB ID matches existing catalog record.
MATCH,"Meg, The",Fandango | Movies Anywhere,345940,The Meg,2018,"Meg, The",2018,,TMDB ID matches existing catalog record.
MATCH,Mike and Dave Need Wedding Dates,Fandango | Movies Anywhere,316023,Mike and Dave Need Wedding Dates,2016,Mike and Dave Need Wedding Dates,2016,,TMDB ID matches existing catalog record.
MATCH,Minority Report,Fandango,180,Minority Report,2002,Minority Report,2002,,TMDB ID matches existing catalog record.
MATCH,Mission: Impossible - Ghost Protocol,Fandango,56292,Mission: Impossible - Ghost Protocol,2011,Mission: Impossible - Ghost Protocol,2011,,TMDB ID matches existing catalog record.
MATCH,Moneyball,Fandango | Movies Anywhere,60308,Moneyball,2011,Moneyball,2011,,TMDB ID matches existing catalog record.
MATCH,"Monsters, Inc.",Fandango,585,"Monsters, Inc.",2001,"Monsters, Inc.",2001,,TMDB ID matches existing catalog record.
MATCH,Mortal Kombat,Fandango | Movies Anywhere,460465,Mortal Kombat,2021,Mortal Kombat,2021,,TMDB ID matches existing catalog record.
MATCH,Mr. Right,Fandango | Movies Anywhere,333385,Mr. Right,2016,Mr. Right,2016,,TMDB ID matches existing catalog record.
MATCH,"Mummy Returns, The",Fandango | Movies Anywhere,1734,The Mummy Returns,2001,"Mummy Returns, The",2001,,TMDB ID matches existing catalog record.
MATCH,"Mummy, The",Fandango | Movies Anywhere,564,The Mummy,1999,"Mummy, The",1999,,TMDB ID matches existing catalog record.
MATCH,"Mummy: Tomb of the Dragon Emperor, The",Fandango | Movies Anywhere,1735,The Mummy: Tomb of the Dragon Emperor,2008,"Mummy: Tomb of the Dragon Emperor, The",2008,,TMDB ID matches existing catalog record.
MATCH,National Lampoon's Christmas Vacation,Fandango | Movies Anywhere,5825,National Lampoon's Christmas Vacation,1989,National Lampoon's Christmas Vacation,1989,,TMDB ID matches existing catalog record.
MATCH,"Natural, The",Fandango | Movies Anywhere,11393,The Natural,1984,"Natural, The",1984,,TMDB ID matches existing catalog record.
MATCH,"Night Before, The",Fandango | Movies Anywhere,38966,The Night Before,1988,"Night Before, The",1988,,TMDB ID matches existing catalog record.
MATCH,Now You See Me,Fandango | Movies Anywhere,75656,Now You See Me,2013,Now You See Me,2013,,TMDB ID matches existing catalog record.
MATCH,Now You See Me 2,Fandango | Movies Anywhere,291805,Now You See Me 2,2016,Now You See Me 2,2016,,TMDB ID matches existing catalog record.
MATCH,"Now You See Me, Now You Don't",Fandango | Movies Anywhere,425274,Now You See Me: Now You Don't,2025,"Now You See Me, Now You Don't",2025,,TMDB ID matches existing catalog record.
MATCH,Ocean's 8,Fandango | Movies Anywhere,402900,Ocean's Eight,2018,Ocean's 8,2018,,TMDB ID matches existing catalog record.
MATCH,Ocean's Eleven,Fandango | Movies Anywhere | Prime,161,Ocean's Eleven,2001,Ocean's Eleven,2001,,TMDB ID matches existing catalog record.
MATCH,Ocean's Thirteen,Fandango | Movies Anywhere,298,Ocean's Thirteen,2007,Ocean's Thirteen,2007,,TMDB ID matches existing catalog record.
MATCH,Ocean's Twelve,Fandango | Movies Anywhere,163,Ocean's Twelve,2004,Ocean's Twelve,2004,,TMDB ID matches existing catalog record.
MATCH,Office Christmas Party,Fandango,384682,Office Christmas Party,2016,Office Christmas Party,2016,,TMDB ID matches existing catalog record.
MATCH,Pan,Fandango | Movies Anywhere,266647,Pan,2015,Pan,2015,,TMDB ID matches existing catalog record.
MATCH,Pitch Perfect,Fandango | Movies Anywhere,114150,Pitch Perfect,2012,Pitch Perfect,2012,,TMDB ID matches existing catalog record.
MATCH,Pitch Perfect 2,Fandango | Movies Anywhere,254470,Pitch Perfect 2,2015,Pitch Perfect 2,2015,,TMDB ID matches existing catalog record.
MATCH,Pitch Perfect 3,Fandango | Movies Anywhere,353616,Pitch Perfect 3,2017,Pitch Perfect 3,2017,,TMDB ID matches existing catalog record.
MATCH,"Planes, Trains and Automobiles",Fandango,2609,"Planes, Trains and Automobiles",1987,"Planes, Trains and Automobiles",1987,,TMDB ID matches existing catalog record.
MATCH,"Polar Express, The",Fandango | Movies Anywhere,5255,The Polar Express,2004,"Polar Express, The",2004,,TMDB ID matches existing catalog record.
MATCH,Rambo,Fandango | Movies Anywhere,7555,Rambo,2008,Rambo,2008,,TMDB ID matches existing catalog record.
MATCH,Return to Never Land,Fandango,16690,Return to Never Land,2002,Return to Never Land,2002,,TMDB ID matches existing catalog record.
MATCH,Riddick,Fandango | Movies Anywhere,87421,Riddick,2013,Riddick,2013,,TMDB ID matches existing catalog record.
