title,digital,status,existing_match,source_tmdbId,source_year,tmdbId,tmdbTitle,tmdbYear,match_type,confidence,review
Fantastic Beasts: The Crimes Of Grindelwald,Fandango | Movies Anywhere,NEW_TMDB,,,,338952,Fantastic Beasts: The Crimes of Grindelwald,2018,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Fast & Furious,Fandango | Movies Anywhere,NEW_TMDB,,,,384018,Fast & Furious Presents: Hobbs & Shaw,2019,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Fast & Furious Presents: Hobbs & Shaw,Fandango | Movies Anywhere,NEW_TMDB,,,,384018,Fast & Furious Presents: Hobbs & Shaw,2019,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Fast Five,Fandango | Movies Anywhere,NEW_TMDB,,,,51497,Fast Five,2011,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Fast X,Fandango | Movies Anywhere,NEW_TMDB,,,,385687,Fast X,2023,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Father Goose,Fandango,NEW_TMDB,,,,30295,Father Goose,1964,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Final Destination 3,Fandango | Movies Anywhere,NEW_TMDB,,,,9286,Final Destination 3,2006,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Final Destination 5,Fandango | Movies Anywhere,NEW_TMDB,,,,55779,Final Destination 5,2011,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
For Love of the Game,Fandango | Movies Anywhere,NEW_TMDB,,,,10390,For Love of the Game,1999,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Friends With Benefits,Fandango | Movies Anywhere,NEW_TMDB,,,,50544,Friends with Benefits,2011,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Full Metal Jacket,Fandango | Movies Anywhere,NEW_TMDB,,,,600,Full Metal Jacket,1987,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Furious 7,Fandango | Movies Anywhere,NEW_TMDB,,,,168259,Furious 7,2015,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Ghost,Fandango,NEW_TMDB,,,,251,Ghost,1990,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Ghostbusters (2016) Extended Edition,Movies Anywhere,NEW_TMDB,,,,,,,NO_RESULT,REVIEW,No TMDB result found.
Ghostbusters: Afterlife,Fandango | Movies Anywhere,NEW_TMDB,,,,425909,Ghostbusters: Afterlife,2021,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Gladiator II,Prime,NEW_TMDB,,,,558449,Gladiator II,2024,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Groundhog Day,Fandango | Movies Anywhere,NEW_TMDB,,,,137,Groundhog Day,1993,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Haul Out the Holly,Prime,NEW_TMDB,,,,1028556,Haul Out the Holly,2022,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Haul Out the Holly: Lit Up,Prime,NEW_TMDB,,,,1154268,Haul Out the Holly: Lit Up,2023,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
"History of the World, Part I",Fandango | Movies Anywhere,NEW_TMDB,,,,10156,History of the World: Part I,1981,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Home for the Holidays,Fandango,NEW_TMDB,,,,9089,Home for the Holidays,1995,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Hook,Fandango | Movies Anywhere,NEW_TMDB,,,,879,Hook,1991,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Houseboat,Fandango,NEW_TMDB,,,,1377,Houseboat,1958,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
How the Grinch Stole Christmas! / Horton Hears a Who!,Prime,NEW_TMDB,,,,,,,NO_RESULT,REVIEW,No TMDB result found.
How to Train Your Dragon,Fandango | Movies Anywhere,NEW_TMDB,,,,1087192,How to Train Your Dragon,2025,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
How to Train Your Dragon 2,Fandango | Movies Anywhere,NEW_TMDB,,,,82702,How to Train Your Dragon 2,2014,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
