result,digital_title,digital,tmdbId,existing_title,existing_year,notes
MATCH,Star Trek Into Darkness,Fandango,54138,Star Trek Into Darkness,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Suicide Squad,Fandango | Movies Anywhere,297761,Suicide Squad,2016,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Sweeney Todd: The Demon Barber of Fleet Street,Fandango,13885,Sweeney Todd: The Demon Barber of Fleet Street,2007,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Tango & Cash,Fandango | Movies Anywhere,9618,Tango & Cash,1989,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,That's My Boy,Fandango | Movies Anywhere,87428,That's My Boy,2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Thor: The Dark World,Fandango | Movies Anywhere,76338,Thor: The Dark World,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Top Gun: Maverick,Fandango,361743,Top Gun: Maverick,2022,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Total Recall,Fandango | Movies Anywhere,861,Total Recall,1990,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Transformers: Age of Extinction,Fandango,91314,Transformers: Age of Extinction,2014,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Transformers: The Last Knight,Fandango,335988,Transformers: The Last Knight,2017,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Trolls,Fandango | Movies Anywhere,136799,Trolls,2016,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Trouble with the Curve,Fandango | Movies Anywhere,87825,Trouble with the Curve,2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,True Lies,Fandango | Movies Anywhere,36955,True Lies,1994,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Twilight Saga: Breaking Dawn - Part 1, The",Fandango,50619,"Twilight Saga: Breaking Dawn - Part 1, The",2011,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Twilight Saga: Breaking Dawn - Part 2, The",Fandango | Movies Anywhere,50620,"Twilight Saga: Breaking Dawn - Part 2, The",2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Underworld: Awakening,Fandango | Movies Anywhere,52520,Underworld: Awakening,2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,V for Vendetta,Fandango | Movies Anywhere,752,V for Vendetta,2006,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Violent Night,Fandango | Movies Anywhere,899112,Violent Night,2022,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Warrior,Fandango | Movies Anywhere,59440,Warrior,2011,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Wayne's World,Fandango,8872,Wayne's World,1992,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Wayne's World 2,Fandango,8873,Wayne's World 2,1993,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,We're the Millers,Fandango | Movies Anywhere,138832,We're the Millers,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Wicked,Fandango | Movies Anywhere,402431,Wicked,2024,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Wicked: For Good,Fandango | Movies Anywhere,967941,Wicked: For Good,2025,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Willy Wonka & the Chocolate Factory,Fandango | Movies Anywhere,252,Willy Wonka & the Chocolate Factory,1971,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Wonder Woman,Fandango | Movies Anywhere,297762,Wonder Woman,2017,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Wonka,Fandango | Movies Anywhere,787699,Wonka,2023,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Wrath of Man,Fandango,637649,Wrath of Man,2021,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,X-Men: Days of Future Past,Fandango | Movies Anywhere,127585,X-Men: Days of Future Past,2014,Matched by TMDB ID. Existing catalog metadata preserved.
