result,digital_title,digital,tmdbId,existing_title,existing_year,notes
REVIEW,Bad Boys: Ride or Die,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Bad Santa 2 Unrated,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Bad Times at The El Royale,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Ballerina: From the World of John Wick,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Barbie,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Barry Lyndon,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Basic Instinct,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Batman & Mr. Freeze: Sub-Zero,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Batman: Mask of the Phantasm,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Behind Enemy Lines,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Being John Malkovich,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Big Hero 6,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Big Trouble In Little China,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Bill & Ted Face the Music,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Bill and Ted's Bogus Journey,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Bill and Ted's Excellent Adventure,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Birds Of Prey And The Fantabulous Emancipation Of One Harley Quinn,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Blade Runner 2049,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Boogie Nights,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Carrie (1976),Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Catch Me if You Can,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Chicago,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Christmas in Connecticut,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Clerks III,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Clue,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Cold Pursuit,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Conan The Barbarian,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Cowboys & Aliens,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,"Crazy, Stupid, Love",Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Daylight,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Dear Santa,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Death Becomes Her,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Death Race 2,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Divergent,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Dogma,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Dr. Seuss' The Lorax,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Dungeons & Dragons: Honor Among Thieves,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Easy A,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Eraser,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Escape Plan,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Eyes Wide Shut,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,F9 The Fast Saga,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,F9 The Fast Saga: The Director's Cut,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Family Plot,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Fantastic Beasts and Where to Find Them,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Fantastic Beasts: The Crimes Of Grindelwald,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Fast & Furious,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Fast & Furious Presents: Hobbs & Shaw,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Fast Five,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Fast X,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Father Goose,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Final Destination 3,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Final Destination 5,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,For Love of the Game,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Friends With Benefits,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Full Metal Jacket,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Furious 7,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Ghost,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Ghostbusters (2016) Extended Edition,Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Ghostbusters: Afterlife,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Gladiator II,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Groundhog Day,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Haul Out the Holly,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Haul Out the Holly: Lit Up,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,"History of the World, Part I",Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Home for the Holidays,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Hook,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Houseboat,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,How the Grinch Stole Christmas! / Horton Hears a Who!,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,How to Train Your Dragon,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,How to Train Your Dragon 2,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Idiocracy,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,In the Grey,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Indian Summer,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Indiscreet,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Is This Thing On?,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,It Happens Every Spring,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Jason Bourne,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Just One of the Guys,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Kill Bill: The Whole Bloody Affair,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Killers,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Knives Out,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Kuffs,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Kung Fu Panda,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,La La Land,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Lean on Me,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Little Big League,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Little Shop of Horrors,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Little Women,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Lolita,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,London Has Fallen,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,MacGruber,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Mad Max: Fury Road,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Magnolia,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Magnolia (1999),Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Mary Poppins,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Maze Runner: The Death Cure,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Maze Runner: The Scorch Trials,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Mechanic Resurrection,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Mickey's Magical Christmas: Snowed In at the House of Mouse,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Midnight Run,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Miracle on 34th Street,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Miracle on 34th Street (1947),Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Murder on the Orient Express,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Nerve,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Network,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Never Been Kissed,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,No Hard Feelings,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Operation Fortune: Ruse de Guerre,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Operation Petticoat,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Out of Sight,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Paranormal Activity,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Passenger 57,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Pixie Hollow Games: Disney Fairies (Short),Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Plane,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Psycho,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Psycho (1998),Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Puffs,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Rango,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Ready Player One,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Rocky,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Rocky II,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Rocky III,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Rocky IV,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Rocky IV: Rocky vs. Drago The Ultimate Director's Cut,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Rocky V,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Roger Corman's Death Race 2050,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Schindler's List,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Shelter,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Skyfall,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Sneakers,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,So I Married An Axe Murderer,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Son-In-Law,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Soul Survivors,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Spectre,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Spider-Man: Homecoming,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Spider-Man: Into The Spider-Verse,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Spider-Man: No Way Home,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Spy Game,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Street Fighter,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Sudden Death,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Sunset Boulevard,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Teen Witch,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,That Touch of Mink,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,The Addams Family,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,The American President,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Conversation,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,The Expendables 3,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Fall Guy,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Fate of the Furious,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Final Destination 4,Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Fugitive,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Grass Is Greener,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,The Great Outdoors,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Hangover Part 2,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,The Hangover Part 3,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,The Hangover Part II,Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Hangover Part III,Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Housemaid,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Hunger Games: The Ballad of Songbirds & Snakes,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Italian Job,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,The Land Before Time XII: The Great Day of the Flyers,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The LEGO Ninjago Movie,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Lost World: Jurassic Park,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Man Who Invented Christmas,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Mask of Zorro,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Maze Runner,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Ministry Of Ungentlemanly Warfare,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Naked Gun,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,The Nice Guys,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Producers,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Prot̩g̩,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Score,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,The Shining,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Siege,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Sound of Music,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Super Mario Bros. Movie,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The Unbearable Weight of Massive Talent,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,The War of the Roses,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,To Catch a Thief,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Twister,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Twisters,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Valentine's Day,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Venom,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Venom: Let There Be Carnage,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Vertigo,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,What Happens Later,Prime,,,,No TMDB ID available. Manual review required.
